Actual,Predicted
5.591,5.433945
5.726000000000001,5.1931057
5.578,5.347363
5.497,5.211286
4.855,5.140407
5.621,4.463078
5.75,5.308882
6.26,5.494063
6.519,6.1191535
6.464,6.457837
6.9,6.3145022
6.88,6.78784
7.258,6.6874304
7.548999999999999,7.0712786
7.713999999999999,7.399801
7.208,7.542404
7.215000000000001,6.8605027
6.664,6.802352
6.534999999999999,6.1719265
6.923,6.0053186
6.912999999999999,6.4990253
6.606999999999999,6.544968
6.287999999999999,6.2190146
6.239,5.877209
6.162,5.820077
6.003,5.7386427
5.797,5.579258
5.798,5.3714957
5.796,5.401692
5.199,5.433599
4.699,4.7924194
4.718999999999999,4.2672367
4.32,4.286004
3.944,3.8932834
3.727,3.5337873
3.722,3.3566363
3.588,3.3797083
3.548,3.2842093
3.395,3.2790654
3.468,3.160544
3.547,3.2507076
3.322,3.3644562
3.4770000000000003,3.1368325
3.65,3.2958539
3.727,3.5106957
3.5480000000000005,3.5843415
3.471,3.3926034
3.407,3.3053763
3.5460000000000003,3.23557
3.552,3.3676426
3.5200000000000005,3.3796408
3.5380000000000003,3.3432724
3.579,3.374109
3.522,3.4229107
3.301,3.3586674
3.251,3.1230743
3.153,3.0628963
3.101,2.9692824
2.928,2.9097207
3.164,2.7484329
3.027,2.989088
3.0170000000000003,2.883356
2.911,2.8585505
2.7960000000000003,2.7810936
2.871,2.6601236
2.948,2.7320626
3.037,2.8237987
3.129,2.916787
3.248,3.0248408
2.932,3.1595092
3.344,2.8319356
3.462,3.229114
3.595,3.3892794
3.781,3.490237
4.051,3.705623
4.097,4.00031
4.35,4.017712
4.595000000000001,4.271403
4.6530000000000005,4.529114
4.724,4.5402646
4.343999999999999,4.581356
4.3020000000000005,4.121754
4.185,4.0345116
4.039,3.904691
3.830000000000001,3.736632
3.673,3.5313406
3.471,3.3856642
3.2410000000000005,3.1980445
3.0580000000000003,2.9802048
2.939,2.8123474
3.001,2.707519
3.2299999999999995,2.7851791
3.064,3.051269
2.842,2.9110854
2.633,2.6910849
2.604,2.5024815
2.525,2.4632063
2.406,2.3864868
2.999,2.2678785
3.076,2.8737447
3.091,3.0136049
2.881,3.002379
3.0420000000000003,2.8165302
3.075,2.9625266
3.1790000000000003,2.9947076
3.281,3.070193
3.287,3.181518
3.371,3.1837566
2.833,3.2646737
2.919,2.7164338
2.898,2.7425194
2.878,2.757145
2.857,2.7109468
2.899,2.7038677
3.035,2.7665157
3.004,2.920397
3.0089999999999995,2.8999636
3.012,2.900415
2.8549999999999995,2.9096112
2.673,2.7437031
2.516,2.5468102
2.5380000000000003,2.3882086
2.4130000000000003,2.4001188
2.28,2.290329
2.0460000000000003,2.157042
1.932,1.9519905
1.873,1.8395171
1.7239999999999998,1.7930807
1.725,1.6628952
1.659,1.6541569
1.7029999999999998,1.6204034
1.628,1.6601713
1.6190000000000002,1.6153796
1.6920000000000002,1.6033336
1.664,1.6842178
1.6489999999999998,1.6739943
1.64,1.6514456
1.6990000000000005,1.6496086
1.672,1.706117
1.67,1.6882844
1.638,1.6765501
1.529,1.6521184
1.492,1.5495117
1.725,1.5009916
1.7600000000000002,1.7165024
1.677,1.7812219
1.608,1.6865063
1.544,1.6217089
1.5459999999999998,1.5698166
1.529,1.5608201
1.6490000000000002,1.5430665
1.971,1.6459739
2.071,1.9718232
1.8220000000000005,2.0995374
1.9,1.8498887
1.9490000000000005,1.8964182
1.931,1.9776903
1.93,1.935191
1.88,1.9152142
1.962,1.872208
1.962,1.9401639
1.775,1.9517716
2.0130000000000003,1.7699776
1.976,1.9701071
1.831,1.9821633
1.859,1.8136734
1.957,1.8311952
1.984,1.9458686
2.158,1.970862
2.087,2.1316214
1.9170000000000005,2.0879881
1.7279999999999998,1.9062712
1.299,1.7214972
1.207,1.3345506
1.1469999999999998,1.1880434
1.0779999999999998,1.1448389
0.951,1.0764278
0.852,0.96521145
0.632,0.8824375
0.5469999999999999,0.7148859
0.489,0.62141454
0.4439999999999999,0.5798236
0.445,0.54258025
0.45,0.538312
0.517,0.5514736
0.473,0.6137243
0.4509999999999999,0.59967
0.4229999999999999,0.57463264
0.393,0.5565982
0.373,0.5321125
0.374,0.5105995
0.395,0.5076262
0.433,0.5249894
0.4600000000000001,0.55932385
0.428,0.58812726
0.509,0.56754136
0.5599999999999999,0.62588775
0.573,0.68885505
0.603,0.7032668
0.6169999999999999,0.72463983
0.596,0.7430425
0.589,0.72641814
0.5309999999999999,0.7131353
0.499,0.6650069
0.511,0.6259326
0.597,0.6303942
0.6119999999999999,0.7031149
0.642,0.73006177
0.7729999999999999,0.750832
0.8379999999999999,0.8683346
1.013,0.95104176
1.2119999999999995,1.1031525
1.3989999999999998,1.3078632
1.5459999999999998,1.497712
1.624,1.6435632
1.561,1.7203256
1.72,1.6544864
1.857,1.77813
1.974,1.9237413
2.174,2.0184102
2.158,2.2059798
2.536,2.1972015
