normalised_time (min),dlprbUsage
0,4.987
5,4.804
10,5.108
15,5.337
20,5.946
25,5.9350000000000005
30,6.186
35,6.125
40,5.771
45,5.795
50,5.591
55,5.726000000000001
60,5.578
65,5.497
70,4.855
75,5.621
80,5.75
85,6.26
90,6.519
95,6.464
100,6.9
105,6.88
110,7.258
115,7.5489999999999995
120,7.713999999999999
125,7.208
130,7.215000000000001
135,6.664
140,6.534999999999999
145,6.923
150,6.912999999999999
155,6.606999999999999
160,6.287999999999999
165,6.239
170,6.162
175,6.003
180,5.797
185,5.798
190,5.796
195,5.199
200,4.699
205,4.718999999999999
210,4.32
215,3.944
220,3.7270000000000003
225,3.722
230,3.5879999999999996
235,3.5479999999999996
240,3.3949999999999996
245,3.468
250,3.5469999999999997
255,3.322
260,3.4770000000000003
265,3.65
270,3.7269999999999994
275,3.5480000000000005
280,3.471
285,3.407
290,3.5460000000000003
295,3.5519999999999996
300,3.5200000000000005
305,3.5380000000000003
310,3.5789999999999997
315,3.522
320,3.3009999999999997
325,3.251
330,3.1529999999999996
335,3.101
340,2.928
345,3.164
350,3.027
355,3.0170000000000003
360,2.911
365,2.7960000000000003
370,2.871
375,2.948
380,3.037
385,3.129
390,3.2479999999999998
395,2.932
400,3.344
405,3.4619999999999997
410,3.595
415,3.781
420,4.051
425,4.0969999999999995
430,4.35
435,4.595000000000001
440,4.6530000000000005
445,4.724
450,4.343999999999999
455,4.3020000000000005
460,4.185
465,4.039
470,3.8300000000000005
475,3.6729999999999996
480,3.471
485,3.2410000000000005
490,3.0580000000000003
495,2.939
500,3.001
505,3.2299999999999995
510,3.064
515,2.8419999999999996
520,2.633
525,2.604
530,2.525
535,2.406
540,2.9989999999999997
545,3.0759999999999996
550,3.091
555,2.8810000000000002
560,3.0420000000000003
565,3.075
570,3.1790000000000003
575,3.281
580,3.287
585,3.371
590,2.8329999999999997
595,2.919
600,2.898
605,2.8779999999999997
610,2.857
615,2.899
620,3.0349999999999997
625,3.004
630,3.0089999999999995
635,3.012
640,2.8549999999999995
645,2.673
650,2.516
655,2.5380000000000003
660,2.4130000000000003
665,2.28
670,2.0460000000000003
675,1.932
680,1.873
685,1.7239999999999998
690,1.725
695,1.659
700,1.7029999999999998
705,1.6280000000000001
710,1.6190000000000002
715,1.6920000000000002
720,1.6640000000000001
725,1.6489999999999998
730,1.64
735,1.6990000000000003
740,1.672
745,1.67
750,1.638
755,1.529
760,1.492
765,1.725
770,1.7600000000000002
775,1.677
780,1.608
785,1.544
790,1.5459999999999998
795,1.5290000000000001
800,1.6490000000000002
805,1.971
810,2.071
815,1.8220000000000003
820,1.9
825,1.9490000000000003
830,1.9309999999999998
835,1.9300000000000002
840,1.8800000000000001
845,1.9620000000000002
850,1.9619999999999997
855,1.775
860,2.0130000000000003
865,1.9759999999999998
870,1.831
875,1.859
880,1.957
885,1.984
890,2.158
895,2.0869999999999997
900,1.9170000000000003
905,1.7279999999999998
910,1.299
915,1.207
920,1.1469999999999998
925,1.0779999999999998
930,0.951
935,0.852
940,0.632
945,0.5469999999999999
950,0.489
955,0.44399999999999995
960,0.445
965,0.45
970,0.517
975,0.47300000000000003
980,0.45099999999999996
985,0.42299999999999993
990,0.393
995,0.37300000000000005
1000,0.374
1005,0.395
1010,0.433
1015,0.4600000000000001
1020,0.42800000000000005
1025,0.509
1030,0.5599999999999999
1035,0.573
1040,0.603
1045,0.6169999999999999
1050,0.596
1055,0.589
1060,0.5309999999999999
1065,0.499
1070,0.511
1075,0.597
1080,0.6119999999999999
1085,0.642
1090,0.7729999999999999
1095,0.8379999999999999
1100,1.013
1105,1.2119999999999997
1110,1.3989999999999998
1115,1.5459999999999998
1120,1.6239999999999999
1125,1.561
1130,1.72
1135,1.857
1140,1.9740000000000002
1145,2.174
1150,2.158
1155,2.536
1160,2.59
1165,2.745
1170,2.883
1175,3.069
1180,3.153
1185,3.344
1190,3.3230000000000004
1195,3.277
1200,3.2950000000000004
1205,2.892
1210,3.6480000000000006
1215,3.723
1220,3.7809999999999997
1225,3.6719999999999997
1230,3.654
1235,3.903
1240,4.05
1245,3.9739999999999993
1250,4.038
1255,4.114
1260,3.4450000000000003
1265,3.177
1270,2.959
1275,2.9330000000000003
1280,2.857
1285,2.5389999999999997
1290,2.564
1295,2.5669999999999997
1300,2.534
1305,2.484
1310,2.734
1315,2.913
1320,3.436
1325,3.793
1330,4.457000000000001
1335,4.857
1340,4.874
1345,5.262
1350,5.451
1355,5.612
1360,5.255000000000001
1365,5.293
1370,5.148000000000001
1375,5.285
1380,5.046
1385,4.96
1390,4.976
1395,5.285
1400,5.546
1405,5.841
1410,6.328
1415,6.636
1420,6.473999999999999
1425,6.1530000000000005
1430,5.898000000000001
1435,5.656000000000001
1440,5.51
1445,4.885
1450,4.568
1455,4.192
1460,3.7399999999999998
1465,3.2969999999999997
1470,3.2359999999999998
1475,3.2600000000000002
1480,3.189
1485,3.286
1490,3.315
1495,3.444
1500,3.5949999999999998
1505,3.9160000000000004
1510,3.8800000000000003
1515,3.957
1520,4.098000000000001
1525,4.711
1530,4.538
1535,4.272
1540,4.311
1545,4.253
1550,4.025
1555,3.6199999999999997
1560,3.782
1565,4.034000000000001
1570,4.142
1575,3.6100000000000003
1580,3.857
1585,3.931
1590,3.9270000000000005
1595,3.9129999999999994
1600,3.9400000000000004
1605,4.086
1610,4.017
1615,3.7809999999999997
1620,3.5829999999999997
1625,3.4590000000000005
1630,3.3010000000000006
1635,3.3549999999999995
1640,3.35
1645,3.3269999999999995
1650,3.229
1655,3.0780000000000003
1660,2.9270000000000005
1665,2.7960000000000003
1670,2.6109999999999998
1675,2.5279999999999996
1680,2.512
1685,2.442
1690,2.325
1695,2.184
1700,2.093
1705,2.277
1710,2.3899999999999997
1715,2.462
1720,2.8110000000000004
1725,2.761
1730,2.766
1735,2.649
1740,2.584
1745,2.707
1750,2.801
1755,2.6189999999999998
1760,2.634
1765,2.763
1770,2.572
1775,2.623
1780,2.664
1785,2.834
1790,2.816
1795,2.781
1800,2.8619999999999997
1805,2.943
1810,2.927
1815,2.968
1820,3.082
1825,2.961
1830,2.8609999999999998
1835,2.782
1840,2.784
1845,2.8080000000000003
1850,2.9730000000000003
1855,2.859
1860,2.7340000000000004
1865,2.6399999999999997
1870,2.5740000000000003
1875,2.718
1880,2.85
1885,2.7990000000000004
1890,3.034
1895,3.1350000000000002
1900,3.258
1905,3.467
1910,3.8329999999999997
1915,3.8959999999999995
1920,3.8340000000000005
1925,3.873
1930,4.014
1935,4.619999999999999
1940,4.958
1945,4.933
1950,4.630000000000001
1955,4.529999999999999
1960,4.148000000000001
1965,3.904000000000001
1970,3.944
1975,3.937
1980,3.758
1985,3.1160000000000005
1990,2.586
1995,2.574
2000,2.745
2005,2.718
2010,3.008
2015,3.225
2020,3.091
2025,2.925
2030,3.031
2035,3.1119999999999997
2040,3.1830000000000003
2045,3.154
2050,2.8619999999999997
2055,2.835
2060,2.556
2065,2.271
2070,2.177
2075,2.152
2080,1.9179999999999997
2085,1.739
2090,1.614
2095,1.548
2100,1.428
2105,1.241
2110,1.157
2115,1.173
2120,1.123
2125,1.0350000000000001
2130,0.909
2135,0.8600000000000001
2140,0.859
2145,0.75
2150,0.881
2155,0.9390000000000001
2160,0.9559999999999998
2165,0.9550000000000001
2170,1.002
2175,1.027
2180,1.1620000000000001
2185,1.293
2190,1.225
2195,1.292
2200,1.217
2205,1.274
2210,1.3530000000000002
2215,1.403
2220,1.456
2225,1.5790000000000002
2230,1.605
2235,1.535
2240,1.5190000000000001
2245,1.4449999999999998
2250,1.483
2255,1.458
2260,1.3359999999999999
2265,1.232
2270,1.137
2275,1.029
2280,0.9700000000000001
2285,0.93
2290,0.9309999999999998
2295,0.859
2300,0.734
2305,0.619
2310,0.6079999999999999
2315,0.575
2320,0.5589999999999999
2325,0.513
2330,0.49399999999999994
2335,0.48200000000000004
2340,0.409
2345,0.445
2350,0.51
2355,0.571
2360,0.668
2365,0.827
2370,0.877
2375,1.0390000000000001
2380,1.207
2385,1.4140000000000001
2390,1.6629999999999998
2395,1.8800000000000001
2400,2.169
2405,2.587
2410,3.164
2415,3.309
2420,3.5439999999999996
2425,3.7680000000000007
2430,3.8850000000000002
2435,4.380000000000001
2440,4.6899999999999995
2445,5.2490000000000006
2450,6.011000000000001
2455,6.542
2460,6.99
2465,7.953
2470,9.143
2475,10.494
2480,12.224
2485,14.456
2490,15.805000000000001
2495,16.907000000000004
2500,17.764
2505,18.568
2510,19.591
2515,20.325
2520,20.878999999999998
2525,21.133000000000003
2530,21.81
2535,21.797
2540,22.14
2545,21.993000000000002
2550,22.830000000000002
2555,23.722
2560,24.045
2565,24.354
2570,24.717
2575,24.896
2580,24.431
2585,24.287
2590,24.945999999999998
2595,25.677
2600,25.166
2605,24.750999999999998
2610,24.972
2615,24.71
2620,24.662
2625,24.813
2630,24.825
2635,24.952999999999996
2640,24.887
2645,25.312
2650,25.534
2655,25.858999999999998
2660,25.696999999999996
2665,26.012999999999998
2670,26.169
2675,27.2
2680,27.695999999999998
2685,27.499000000000002
2690,27.272000000000002
2695,26.76
2700,27.339
2705,27.387
2710,27.261000000000003
2715,27.752000000000002
2720,28.147000000000002
2725,27.735000000000003
2730,28.951
2735,30.728999999999996
2740,32.905
2745,35.361000000000004
2750,36.684
2755,38.701
2760,40.878
2765,42.732
2770,43.952999999999996
2775,45.439
2780,44.347
2785,42.333000000000006
2790,40.402
2795,38.998000000000005
2800,39.02
2805,38.462
2810,36.381
2815,34.029
2820,32.775
2825,31.117
2830,30.595
2835,31.141999999999996
2840,31.407
2845,31.549
2850,31.241000000000003
2855,29.887
2860,29.861
2865,29.796999999999997
2870,29.489000000000004
2875,29.254
2880,29.722
2885,29.443
2890,28.839
2895,27.775
2900,26.811
2905,27.526999999999997
2910,28.073
2915,28.782999999999998
2920,29.647000000000002
2925,31.120000000000005
2930,30.570999999999998
2935,30.081
2940,30.569
2945,30.934000000000005
2950,30.419999999999998
2955,30.291000000000004
2960,30.479999999999997
2965,30.897000000000002
2970,31.496999999999996
2975,30.621
2980,31.368000000000002
2985,31.599
2990,30.746
2995,30.701999999999998
3000,31.060999999999996
3005,31.161
3010,30.963
3015,29.840999999999998
3020,27.925
3025,27.288999999999998
3030,26.360000000000003
3035,26.444
3040,27.155
